id,ad_cost_broad_term,ad_cost_exact_term,adult,alexa_link_popularity,alexa_traffic_rank,altavista_link_popularity,altavista_link_saturation,appraised_value,appraised_wholesale_value,auction_bidders,auction_description,auction_end_date,auction_join_date,auction_price,auction_revenue,auction_title,auction_traffic,auction_url,category,development_revenue_estimate,dmoz,domain,drop_date,end_user_buyers,extensions_taken,google_link_popularity,google_link_saturation,has_dash,has_num,language,language_probability,list_type,overture_sld,overture_term,overture_tld,pagerank,parking_revenue_estimate,process_date,search_ad_competition_broad_term,search_ad_competition_exact_term,search_ads_sld,search_ads_term,search_cpc_broad_term,search_cpc_exact_term,search_results_sld,search_results_term,search_suggestion_sld,search_suggestion_term,search_volume_broad_term,search_volume_exact_term,similar_sales,sld,sld_length,tld,tld_count,tld_count_dev,trademark_company,trademark_probability,trademark_risk,trademark_term,trademark_type,traffic_estimate,type,wayback_age,wayback_records,whois_age,whois_create_date,whois_expire_date,whois_ns1,whois_ns2,whois_registrar,whois_update_date,word_count,words,yahoo,yahoo_link_popularity,yahoo_link_saturation,is_shortlisted,shortlist_status,analysed_by,dom_date_list,upload_date,old_list_type,reason_of_shortlisting,should_be_shortlisted,combined_shortlist_label1,combined_shortlist_prob1,gdv,last_sold_price
11683890,0,0,0,0,0,-1,-1,30,5,0,NULL,"2025-11-03 15:19:00","0000-00-00 00:00:00",7.99,0,NULL,0,https://www.dynadot.com/market/auction/codestudios.com,"Art -- Studios",0,0,codestudios.com,0000-00-00,-1,3,-1,3,0,0,english,100,DD,0,-1,0,0,0,2025-10-28,low,low,0,0,0.95,0,582,9590,0,0,479,12,0,codestudios,11,com,13,5,NULL,0,0,NULL,NULL,0,dynadot,2003,24,8066,2003-09-28,2026-09-28,ns1.dyna-ns.net,ns2.dyna-ns.net,"Dynadot Inc",2025-09-29,2,"code studios",0,-1,-1,0,0,NULL,"codestudios.com,2025-10-28,dd",2025-10-29,NULL,"bidders>=2 & live",1,NULL,NULL,NULL,NULL
11684339,0,0,0,0,0,-1,-1,900,45,0,NULL,"2025-11-07 16:00:00","0000-00-00 00:00:00",7.99,0,NULL,0,https://www.dynadot.com/market/auction/firmoil.com,Business,0,0,firmoil.com,0000-00-00,-1,1,-1,-1,0,0,english,92,DD,-1,-1,-1,0,0,2025-10-28,low,low,0,3,4.92,0,2240,71700,0,0,12100,0,0,firmoil,7,com,1,0,NULL,0,0,NULL,NULL,0,dynadot,2013,13,5505,2010-10-02,2026-10-02,curitiba.ns.porkbun.com,fortaleza.ns.porkbun.com,"PORKBUN LLC",2025-10-13,2,"firm oil",0,-1,-1,0,0,NULL,"firmoil.com,2025-10-28,dd",2025-10-29,NULL,"bidders>=2 & live",1,NULL,NULL,NULL,NULL
11684774,0,0,0,0,0,-1,-1,0,0,0,NULL,"2025-11-03 16:08:00","0000-00-00 00:00:00",7.99,0,NULL,0,https://www.dynadot.com/market/auction/iyinghua.io,"Other -- Dictionary Word",0,0,iyinghua.io,0000-00-00,-1,1,-1,-1,0,0,english,64,DD,-1,-1,-1,-1,0,2025-10-28,low,low,0,0,-1,-1,643,300,0,0,-1,-1,0,iyinghua,8,io,5,1,NULL,0,0,NULL,NULL,0,dynadot,-1,-1,761,2023-09-28,2025-09-28,bill.ns.cloudflare.com,leia.ns.cloudflare.com,DYNADOT,2024-08-14,3,"i ying hua",0,-1,-1,0,0,NULL,"iyinghua.io,2025-10-28,dd",2025-10-29,NULL,"bidders>=2 & live",1,NULL,NULL,NULL,NULL
11685058,0,0,0,0,0,-1,-1,100,0,0,NULL,"2025-11-07 16:00:00","0000-00-00 00:00:00",7.99,0,NULL,0,https://www.dynadot.com/market/auction/making.now,"Other -- Generic Single Word",0,0,making.now,0000-00-00,-1,6,-1,-1,0,0,english,100,DD,9157,-1,-1,-1,0,2025-10-28,low,low,0,0,3.53,-0.5,541000000,734000,0,0,49500,0,0,making,6,now,150,17,NULL,0,0,NULL,NULL,0,dynadot,-1,-1,391,2024-10-02,2026-10-02,curitiba.ns.porkbun.com,fortaleza.ns.porkbun.com,"Porkbun LLC",2025-10-15,2,"making now",0,-1,-1,0,0,NULL,"making.now,2025-10-28,dd",2025-10-29,NULL,"bidders>=2 & live",1,NULL,NULL,NULL,NULL
11685194,0,0,0,0,0,-1,-1,60,5,0,NULL,"2025-11-03 13:52:00","0000-00-00 00:00:00",7.99,0,NULL,0,https://www.dynadot.com/market/auction/moonery.com,"Other -- Generic Single Word",0,0,moonery.com,0000-00-00,-1,1,-1,-1,0,0,Unknown,0,DD,0,0,0,0,0,2025-10-28,low,low,0,0,41.65,0,14300,14300,0,0,46,0,0,moonery,7,com,2,1,NULL,0,0,NULL,NULL,0,dynadot,2002,34,6239,2008-09-28,2026-09-28,ns1.dyna-ns.net,ns2.dyna-ns.net,"Dynadot Inc",2025-09-29,1,moonery,0,-1,-1,0,0,NULL,"moonery.com,2025-10-28,dd",2025-10-29,NULL,"bidders>=2 & live",1,1,0.7693682413971168,NULL,NULL
11685435,0,0,0,0,0,-1,-1,1600,170,0,NULL,"2025-11-03 14:24:00","0000-00-00 00:00:00",7.99,0,NULL,0,https://www.dynadot.com/market/auction/oldmutualinsurance.com,"Finance -- Insurance",0,0,oldmutualinsurance.com,0000-00-00,-1,1,-1,0,0,0,english,92,DD,-1,126,-1,0,0,2025-10-28,high,high,8,11,13.55,27.75,533,8170,0,0,408,320,0,oldmutualinsurance,18,com,3,0,NULL,0,0,NULL,NULL,0,dynadot,2011,3,1856,2020-09-28,2026-09-28,ns1.dyna-ns.net,ns2.dyna-ns.net,"Dynadot Inc",2025-09-29,3,"old mutual insurance",0,-1,-1,0,0,NULL,"oldmutualinsurance.com,2025-10-28,dd",2025-10-29,NULL,watchlisted,1,0,0.34232696718239053,NULL,NULL
11685613,0,0,0,0,0,-1,-1,420,0,0,NULL,"2025-11-03 14:22:00","0000-00-00 00:00:00",7.99,0,NULL,0,https://www.dynadot.com/market/auction/potandplant.com,"Shopping -- Kitchenwares",0,0,potandplant.com,0000-00-00,-1,1,-1,-1,0,0,english,84,DD,0,-1,0,1,0,2025-10-28,medium,low,0,4,0.83,-1,79,837000,0,0,246000,5,0,potandplant,11,com,4,0,NULL,0,0,NULL,NULL,0,dynadot,2004,20,4779,2012-09-27,2026-09-27,ns1.dyna-ns.net,ns2.dyna-ns.net,"Dynadot Inc",2025-09-28,3,"pot and plant",0,-1,-1,0,0,NULL,"potandplant.com,2025-10-28,dd",2025-10-29,NULL,watchlisted,1,1,0.6418126924732079,NULL,NULL
11685663,0,0,0,0,0,-1,-1,0,0,1,NULL,"2025-11-03 13:42:00","0000-00-00 00:00:00",7.99,0,NULL,0,https://www.dynadot.com/market/auction/psitirepressure.com,"Other -- Dictionary Word",0,0,psitirepressure.com,0000-00-00,-1,1,-1,-1,0,0,english,92,DD,-1,-1,-1,-1,0,2025-10-28,low,low,0,0,-1,-1,0,-1,0,0,-1,-1,0,psitirepressure,15,com,1,1,NULL,0,0,NULL,NULL,0,dynadot,2021,4,1856,2020-09-28,2026-09-28,ns1.dyna-ns.net,ns2.dyna-ns.net,"Dynadot Inc",2025-09-29,2,"psi tirepressure",0,-1,-1,0,0,NULL,"psitirepressure.com,2025-10-28,dd",2025-10-29,NULL,"bidders>=2 & live",1,0,0.3777964752606214,NULL,NULL
11685921,0,0,0,0,0,-1,-1,100,0,0,NULL,"2025-11-07 16:00:00","0000-00-00 00:00:00",7.99,0,NULL,0,https://www.dynadot.com/market/auction/sharing.now,"Other -- Generic Single Word",0,0,sharing.now,0000-00-00,-1,6,-1,-1,0,0,english,100,DD,11275,-1,-1,-1,0,2025-10-28,low,low,0,0,4.62,-0.5,100000000,97400,0,0,18100,0,0,sharing,7,now,188,17,NULL,0,0,NULL,NULL,0,dynadot,-1,-1,391,2024-10-02,2026-10-02,curitiba.ns.porkbun.com,fortaleza.ns.porkbun.com,"Porkbun LLC",2025-10-14,2,"sharing now",0,-1,-1,0,0,NULL,"sharing.now,2025-10-28,dd",2025-10-29,NULL,"bidders>=2 & live",1,NULL,NULL,NULL,NULL
11686449,0,0,0,5,0,-1,-1,1500,85,0,NULL,"2025-11-03 14:25:00","0000-00-00 00:00:00",7.99,0,NULL,0,https://www.dynadot.com/market/auction/vivavision.com,"Health -- Eye",0,0,vivavision.com,0000-00-00,-1,4,-1,-1,0,0,english,100,DD,0,-1,0,3,0,2025-10-28,low,low,0,1,1.16,0.73,4620,54900,0,0,2900,260,0,vivavision,10,com,16,2,NULL,0,0,NULL,NULL,0,dynadot,2003,150,8067,2003-09-27,2025-09-27,NS1.DYNA-NS.NET,NS2.DYNA-NS.NET,DYNADOT,2022-12-05,2,"viva vision",0,-1,-1,0,0,NULL,"vivavision.com,2025-10-28,dd",2025-10-29,NULL,"bidders>=2 & live",1,1,0.8987691633847111,NULL,NULL
