domain_name,tld,auction_price,bulk_pass,bulk_score,bulk_reason,ling_pass,ling_score,ling_adjusted,gate_reason,final_stage
codestudios.com,com,7.99,True,7,,False,6.35,6.35,memorability 4 < 5,linguistic_gated
firmoil.com,com,7.99,True,10,,False,6.0,6.0,overall 6.0 < 6.2,linguistic_gated
iyinghua.io,io,7.99,True,8,,False,5.45,5.25,overall 5.25 < 6.2,linguistic_gated
making.now,now,7.99,True,9,,False,6.0,5.2,overall 5.2 < 6.2,linguistic_gated
moonery.com,com,7.99,True,10,,False,6.2,6.2,weakest dimension 4 < 5,linguistic_gated
oldmutualinsurance.com,com,7.99,False,1,,False,,,skipped_bulk,bulk_rejected
potandplant.com,com,7.99,False,1,,False,,,skipped_bulk,bulk_rejected
psitirepressure.com,com,7.99,False,1,,False,,,skipped_bulk,bulk_rejected
sharing.now,now,7.99,True,9,,False,6.0,5.2,overall 5.2 < 6.2,linguistic_gated
vivavision.com,com,7.99,True,9,,False,5.2,5.2,overall 5.2 < 6.2,linguistic_gated
weedlane.com,com,7.99,True,10,,False,5.95,5.95,overall 5.95 < 6.2,linguistic_gated
wife.info,info,7.99,False,1,,False,,,skipped_bulk,bulk_rejected
aromanticsperspective.com,com,0.0,False,1,,False,,,skipped_bulk,bulk_rejected
attilia.com,com,0.0,True,10,,False,6.0,6.0,overall 6.0 < 6.2,linguistic_gated
cabri-volga.org,org,0.0,False,1,,False,,,skipped_bulk,bulk_rejected
canadianmusician.com,com,0.0,False,1,,False,,,skipped_bulk,bulk_rejected
coincollectingenterprises.com,com,0.0,False,1,,False,,,skipped_bulk,bulk_rejected
elcontact.com,com,0.0,True,8,,False,5.75,5.75,overall 5.75 < 6.2,linguistic_gated
floraa.com,com,0.0,True,10,,False,6.0,6.0,overall 6.0 < 6.2,linguistic_gated
livedan330.com,com,0.0,False,1,,False,,,skipped_bulk,bulk_rejected
pitchingmachinepro.com,com,0.0,False,1,,False,,,skipped_bulk,bulk_rejected
savenay.com,com,0.0,True,10,,False,6.0,6.0,overall 6.0 < 6.2,linguistic_gated
sugarmanrogers.com,com,0.0,False,4,,False,,,skipped_bulk,bulk_rejected
tacotalk.com,com,0.0,True,10,,False,5.95,5.95,overall 5.95 < 6.2,linguistic_gated
blingfactory.com,com,1.0,False,4,,False,,,skipped_bulk,bulk_rejected
bythemoon.com,com,1.0,False,1,,False,,,skipped_bulk,bulk_rejected
girish.com,com,6.0,True,10,,False,6.0,6.0,overall 6.0 < 6.2,linguistic_gated
addlocalbusiness.com,com,7.99,False,1,,False,,,skipped_bulk,bulk_rejected
babymassearch.com,com,1.0,False,3,,False,,,skipped_bulk,bulk_rejected
chatgpttv.com,com,1.0,False,1,,False,,,skipped_bulk,bulk_rejected
claim.info,info,7.99,False,1,,False,,,skipped_bulk,bulk_rejected
eatbetterspendless.com,com,1.0,False,1,,False,,,skipped_bulk,bulk_rejected
economiapedia.com,com,7.99,False,2,,False,,,skipped_bulk,bulk_rejected
esgambling.com,com,7.99,True,7,,False,5.4,5.4,overall 5.4 < 6.2,linguistic_gated
findmyhomestay.com,com,1.0,False,1,,False,,,skipped_bulk,bulk_rejected
freespirits.net,net,1.0,False,6,,False,,,skipped_bulk,bulk_rejected
fsiblog.us,us,1.0,True,9,,False,6.5,5.7,overall 5.7 < 6.2,linguistic_gated
hummerstudio.com,com,1.0,False,5,,False,,,skipped_bulk,bulk_rejected
netsum.com,com,7.99,True,10,,True,6.8,6.8,,linguistic_pass
newsnmio.com,com,7.99,False,1,,False,,,skipped_bulk,bulk_rejected
newszkl.com,com,7.99,False,1,,False,,,skipped_bulk,bulk_rejected
newszxcv.com,com,7.99,False,1,,False,,,skipped_bulk,bulk_rejected
novutek.com,com,1.0,True,10,,False,6.0,6.0,overall 6.0 < 6.2,linguistic_gated
pl2.cc,cc,7.99,False,1,,False,,,skipped_bulk,bulk_rejected
presspace.com,com,1.0,True,7,,False,5.55,5.55,overall 5.55 < 6.2,linguistic_gated
satoshi.im,im,7.99,True,9,,False,6.0,5.2,overall 5.2 < 6.2,linguistic_gated
soapyland.com,com,1.0,True,7,,False,6.15,6.15,overall 6.15 < 6.2,linguistic_gated
socyberty.com,com,31.0,False,1,,False,,,skipped_bulk,bulk_rejected
thegoldenbug.com,com,1.0,False,6,,False,,,skipped_bulk,bulk_rejected
virtualsaigon.com,com,1.0,False,4,,False,,,skipped_bulk,bulk_rejected
wattmax.com,com,7.99,True,9,,False,5.8,5.8,overall 5.8 < 6.2,linguistic_gated
432444.com,com,0.0,False,1,,False,,,skipped_bulk,bulk_rejected
balticapartment.com,com,0.0,False,1,,False,,,skipped_bulk,bulk_rejected
simplicityphotography.com,com,0.0,False,1,,False,,,skipped_bulk,bulk_rejected
danong.com,com,1.0,True,10,,False,6.0,6.0,overall 6.0 < 6.2,linguistic_gated
zig.info,info,1.0,False,1,,False,,,skipped_bulk,bulk_rejected
3x21.cc,cc,7.99,False,1,,False,,,skipped_bulk,bulk_rejected
airdomains.com,com,7.99,True,8,,False,5.45,5.45,overall 5.45 < 6.2,linguistic_gated
bloxfruits.lol,lol,7.99,False,1,,False,,,skipped_bulk,bulk_rejected
catnet.co,co,7.99,True,10,,True,6.8,6.6,,linguistic_pass
cogan.org,org,7.99,True,10,,False,6.0,5.8,overall 5.8 < 6.2,linguistic_gated
dayform.com,com,7.99,True,10,,False,6.4,6.4,weakest dimension 4 < 5,linguistic_gated
dbc.app,app,7.99,False,1,,False,,,skipped_bulk,bulk_rejected
imkino.com,com,1.0,True,10,,False,6.0,6.0,overall 6.0 < 6.2,linguistic_gated
kariplast.com,com,1.0,True,8,,False,5.75,5.75,overall 5.75 < 6.2,linguistic_gated
lambertcastle.com,com,7.99,False,3,,False,,,skipped_bulk,bulk_rejected
letusfindout.com,com,7.99,False,6,,False,,,skipped_bulk,bulk_rejected
nameheroes.com,com,7.99,True,9,,False,5.6,5.6,overall 5.6 < 6.2,linguistic_gated
nofacade.com,com,7.99,True,10,,False,5.95,5.95,overall 5.95 < 6.2,linguistic_gated
nubestore.com,com,7.99,True,8,,False,6.4,6.4,weakest dimension 4 < 5,linguistic_gated
proskore.com,com,7.99,True,10,,True,6.95,6.95,,linguistic_pass
swotsky.com,com,7.99,False,1,,False,,,skipped_bulk,bulk_rejected
vbgb.com,com,7.99,False,1,,False,,,skipped_bulk,bulk_rejected
burkedesign.com,com,0.0,True,7,,True,6.5,6.5,,linguistic_pass
chromatek.com,com,0.0,True,7,,False,5.55,5.55,overall 5.55 < 6.2,linguistic_gated
intersindical.com,com,0.0,False,4,,False,,,skipped_bulk,bulk_rejected
lightonline.com,com,0.0,False,5,,False,,,skipped_bulk,bulk_rejected
martek.com,com,0.0,True,10,,False,6.0,6.0,overall 6.0 < 6.2,linguistic_gated
smartrm.com,com,0.0,False,1,,False,,,skipped_bulk,bulk_rejected
thejewelstore.com,com,0.0,False,3,,False,,,skipped_bulk,bulk_rejected
tilestore.com,com,0.0,True,8,,False,6.0,6.0,overall 6.0 < 6.2,linguistic_gated
agents.now,now,7.99,True,7,,False,5.8,5.0,overall 5.0 < 6.2,linguistic_gated
ahoy.now,now,7.99,True,7,,False,6.0,5.2,overall 5.2 < 6.2,linguistic_gated
alertbit.com,com,7.99,True,9,,False,5.75,5.75,overall 5.75 < 6.2,linguistic_gated
bots.now,now,7.99,False,6,,False,,,skipped_bulk,bulk_rejected
byte.now,now,7.99,False,4,,False,,,skipped_bulk,bulk_rejected
