domain_name,tld,auction_price,bulk_score,bulk_reason
codestudios.com,com,7.99,7,
firmoil.com,com,7.99,10,
iyinghua.io,io,7.99,8,
making.now,now,7.99,9,
moonery.com,com,7.99,10,
sharing.now,now,7.99,9,
vivavision.com,com,7.99,9,
weedlane.com,com,7.99,10,
attilia.com,com,0.0,10,
elcontact.com,com,0.0,8,
floraa.com,com,0.0,10,
savenay.com,com,0.0,10,
tacotalk.com,com,0.0,10,
girish.com,com,6.0,10,
esgambling.com,com,7.99,7,
fsiblog.us,us,1.0,9,
netsum.com,com,7.99,10,
novutek.com,com,1.0,10,
presspace.com,com,1.0,7,
satoshi.im,im,7.99,9,
soapyland.com,com,1.0,7,
wattmax.com,com,7.99,9,
danong.com,com,1.0,10,
airdomains.com,com,7.99,8,
catnet.co,co,7.99,10,
cogan.org,org,7.99,10,
dayform.com,com,7.99,10,
imkino.com,com,1.0,10,
kariplast.com,com,1.0,8,
nameheroes.com,com,7.99,9,
nofacade.com,com,7.99,10,
nubestore.com,com,7.99,8,
proskore.com,com,7.99,10,
burkedesign.com,com,0.0,7,
chromatek.com,com,0.0,7,
martek.com,com,0.0,10,
tilestore.com,com,0.0,8,
agents.now,now,7.99,7,
ahoy.now,now,7.99,7,
alertbit.com,com,7.99,9,
commit.now,now,7.99,9,
engine.now,now,7.99,9,
folder.now,now,7.99,9,
hirebuddies.com,com,7.99,7,
stationkey.com,com,1.0,8,
webinar.now,now,7.99,10,
chodulich.com,com,0.0,8,
karwaan.com,com,0.0,10,
minmad.com,com,0.0,10,
novasistemas.com,com,0.0,7,
properla.com,com,0.0,10,
cheviots.com,com,7.99,10,
cuprate.com,com,7.99,10,
brosshop.com,com,0.0,9,
cazasolution.com,com,0.0,7,
codevibe.org,org,0.0,10,
dienbien.com,com,0.0,10,
gulart.com,com,0.0,10,
hrtour.com,com,0.0,9,
mayoshop.com,com,0.0,10,
nastart.org,org,0.0,10,
nataland.com,com,0.0,10,
peedo.com,com,0.0,8,
smudde.com,com,0.0,10,
thinkmen.com,com,0.0,8,
weyk.com,com,0.0,8,
wisip.com,com,0.0,10,
emisfer.com,com,1.0,10,
nofaith.com,com,7.99,10,
baki.org,org,0.0,8,
bilgiggo.org,org,0.0,10,
bimaxpro.com,com,0.0,10,
cristalcar.com,com,0.0,8,
dissoc.org,org,0.0,10,
filmee.com,com,0.0,10,
findujour.com,com,0.0,9,
lovekay.com,com,0.0,10,
okitalk.com,com,0.0,10,
ouncewater.com,com,0.0,8,
profiwin.com,com,0.0,10,
rsmotors.com,com,0.0,8,
santeinfo.com,com,0.0,8,
deoplay.com,com,7.99,10,
fastjobs.net,net,1.0,8,
jobstart.net,net,1.0,7,
adseed.com,com,0.0,10,
alyla.com,com,0.0,9,
aonyx.com,com,0.0,9,
avector.com,com,0.0,10,
bestgain.com,com,0.0,10,
calapa.org,org,0.0,10,
ceterrassa.com,com,0.0,8,
contentai.org,org,0.0,7,
deeb.org,org,0.0,8,
formatauto.com,com,0.0,8,
getsava.com,com,0.0,10,
gfsoft.com,com,0.0,7,
greycard.com,com,0.0,10,
